ID,Date,Consumption
338,2022-04-24 00:00:00 -> 2022-04-24 23:55:00,109.00
339,2022-04-25 00:00:00 -> 2022-04-25 23:55:00,119.00
340,2022-04-26 00:00:00 -> 2022-04-26 23:55:00,140.00
341,2022-04-27 00:00:00 -> 2022-04-27 23:55:00,142.00
342,2022-04-28 00:00:00 -> 2022-04-28 23:55:00,140.00
343,2022-04-29 00:00:00 -> 2022-04-29 23:55:00,141.00
344,2022-04-30 00:00:00 -> 2022-04-30 23:55:00,142.00
345,2022-05-01 00:00:00 -> 2022-05-01 23:55:00,78.00
346,2022-05-02 00:00:00 -> 2022-05-02 23:55:00,135.00
347,2022-05-03 00:00:00 -> 2022-05-03 23:55:00,137.00
348,2022-05-04 00:00:00 -> 2022-05-04 23:55:00,109.00
349,2022-05-05 00:00:00 -> 2022-05-05 23:55:00,40.00
350,2022-05-06 00:00:00 -> 2022-05-06 23:55:00,28.00
351,2022-05-07 00:00:00 -> 2022-05-07 23:55:00,62.00
352,2022-05-08 00:00:00 -> 2022-05-08 23:55:00,92.00
353,2022-05-09 00:00:00 -> 2022-05-09 23:55:00,104.00
354,2022-05-10 00:00:00 -> 2022-05-10 23:55:00,143.00
355,2022-05-11 00:00:00 -> 2022-05-11 23:55:00,139.00
356,2022-05-12 00:00:00 -> 2022-05-12 23:55:00,144.00
357,2022-05-13 00:00:00 -> 2022-05-13 23:55:00,143.00
358,2022-05-14 00:00:00 -> 2022-05-14 23:55:00,141.00
359,2022-05-15 00:00:00 -> 2022-05-15 23:55:00,140.47
360,2022-05-16 00:00:00 -> 2022-05-16 23:55:00,139.42
361,2022-05-17 00:00:00 -> 2022-05-17 23:55:00,141.00
362,2022-05-18 00:00:00 -> 2022-05-18 23:55:00,114.00
363,2022-05-19 00:00:00 -> 2022-05-19 23:55:00,141.00
364,2022-05-20 00:00:00 -> 2022-05-20 23:55:00,146.00
365,2022-05-21 00:00:00 -> 2022-05-21 23:55:00,142.00
366,2022-05-22 00:00:00 -> 2022-05-22 23:55:00,135.00
367,2022-05-23 00:00:00 -> 2022-05-23 23:55:00,135.00
368,2022-05-24 00:00:00 -> 2022-05-24 23:55:00,141.00
369,2022-05-25 00:00:00 -> 2022-05-25 23:55:00,52.00
370,2022-05-26 00:00:00 -> 2022-05-26 23:55:00,93.00
371,2022-05-27 00:00:00 -> 2022-05-27 23:55:00,90.00
372,2022-05-28 00:00:00 -> 2022-05-28 23:55:00,84.00
373,2022-05-29 00:00:00 -> 2022-05-29 23:55:00,127.00
374,2022-05-30 00:00:00 -> 2022-05-30 23:55:00,131.00
375,2022-05-31 00:00:00 -> 2022-05-31 23:55:00,130.00
376,2022-06-01 00:00:00 -> 2022-06-01 23:55:00,139.00
377,2022-06-02 00:00:00 -> 2022-06-02 23:55:00,137.00
378,2022-06-03 00:00:00 -> 2022-06-03 23:55:00,126.00
379,2022-06-04 00:00:00 -> 2022-06-04 23:55:00,92.00
380,2022-06-05 00:00:00 -> 2022-06-05 23:55:00,80.00
381,2022-06-06 00:00:00 -> 2022-06-06 23:55:00,130.00
382,2022-06-07 00:00:00 -> 2022-06-07 23:55:00,140.00
383,2022-06-08 00:00:00 -> 2022-06-08 23:55:00,131.00
384,2022-06-09 00:00:00 -> 2022-06-09 23:55:00,61.00
